発時刻,着時刻,時刻,路線名,行先,料金
11:23,4,11:27,ＪＲ京都線,宝塚行,180
11:24,4,11:28,ＪＲ京都線新快速21号,姫路行,180
11:28,4,11:32,はるか21号,関西空港行,180
11:29,4,11:33,ＪＲ京都線,須磨行,180
11:31,4,11:35,JR京都線快速,網干行,180
11:31,4,11:35,ＪＲ京都線,大阪行,180
11:34,4,11:38,サンダーバード14号,大阪行,180
11:38,4,11:42,ＪＲ京都線,宝塚行,180
11:39,4,11:43,ＪＲ京都線新快速,姫路行,180
11:44,4,11:48,エキスポライナー,桜島行 【始発】,180
11:44,4,11:48,ＪＲ京都線,須磨行,180
11:46,4,11:50,JR京都線快速,加古川行,180
11:53,4,11:57,ＪＲ京都線,宝塚行,180
11:54,4,11:58,ＪＲ京都線新快速,姫路行,180
11:58,4,12:02,はるか23号,関西空港行,180
11:59,4,12:03,ＪＲ京都線,須磨行,180
12:01,4,12:05,JR京都線快速,網干行,180
12:02,4,12:06,サンダーバード16号,大阪行,180
12:05,4,12:09,こうのとり9号,城崎温泉行 【始発】,180
12:08,4,12:12,ＪＲ京都線,宝塚行,180
12:09,4,12:13,ＪＲ京都線新快速,姫路行,180
12:13,4,12:17,くろしお11号,新宮行 【始発】,180
12:14,4,12:18,ＪＲ京都線,須磨行,180
12:16,4,12:20,JR京都線快速,加古川行,180
12:23,4,12:27,ＪＲ京都線,宝塚行,180
12:24,4,12:28,ＪＲ京都線新快速,姫路行,180
12:28,4,12:32,はるか25号,関西空港行,180
12:29,4,12:33,ＪＲ京都線,須磨行,180
12:31,4,12:35,JR京都線快速,網干行,180
12:32,4,12:36,サンダーバード18号,大阪行,180
12:38,4,12:42,ＪＲ京都線,宝塚行,180
12:39,4,12:43,ＪＲ京都線新快速23号,姫路行,180
12:44,4,12:48,エキスポライナー,桜島行 【始発】,180
12:44,4,12:48,ＪＲ京都線,須磨行,180
12:46,4,12:50,JR京都線快速,加古川行,180
12:53,4,12:57,ＪＲ京都線,宝塚行,180
12:54,4,12:58,ＪＲ京都線新快速,姫路行,180
12:58,4,13:02,はるか27号,関西空港行,180
12:59,4,13:03,ＪＲ京都線,須磨行,180
13:01,4,13:05,JR京都線快速,網干行,180
13:05,4,13:09,こうのとり11号,福知山行 【始発】,180
13:08,4,13:12,ＪＲ京都線,宝塚行,180
13:09,4,13:13,ＪＲ京都線新快速,姫路行,180
13:13,4,13:17,くろしお13号,白浜行 【始発】,180
13:14,4,13:18,ＪＲ京都線,須磨行,180
13:16,4,13:20,JR京都線快速,加古川行,180
13:23,4,13:27,ＪＲ京都線,宝塚行,180
13:24,4,13:28,ＪＲ京都線新快速,姫路行,180
13:28,4,13:32,はるか29号,関西空港行,180
13:29,4,13:33,ＪＲ京都線,須磨行,180
13:31,4,13:35,JR京都線快速,網干行,180
13:32,4,13:36,サンダーバード20号,大阪行,180
13:38,4,13:42,ＪＲ京都線,宝塚行,180
13:39,4,13:43,ＪＲ京都線新快速25号,姫路行,180
13:44,4,13:48,エキスポライナー,桜島行 【始発】,180
13:44,4,13:48,ＪＲ京都線,須磨行,180
13:46,4,13:50,JR京都線快速,加古川行,180
13:53,4,13:57,ＪＲ京都線,宝塚行,180
13:54,4,13:58,ＪＲ京都線新快速,姫路行,180
13:58,4,14:02,はるか31号,関西空港行,180
13:59,4,14:03,ＪＲ京都線,須磨行,180
14:01,4,14:05,JR京都線快速,網干行,180
14:05,4,14:09,こうのとり13号,城崎温泉行 【始発】,180
14:08,4,14:12,ＪＲ京都線,宝塚行,180
14:09,4,14:13,ＪＲ京都線新快速,姫路行,180
14:13,4,14:17,くろしお15号,白浜行 【始発】,180
14:14,4,14:18,ＪＲ京都線,須磨行,180
14:16,4,14:20,JR京都線快速,加古川行,180
14:23,4,14:27,ＪＲ京都線,新三田行,180
14:24,4,14:28,ＪＲ京都線新快速,姫路行,180
14:28,4,14:32,はるか33号,関西空港行,180
14:29,4,14:33,ＪＲ京都線,須磨行,180
14:31,4,14:35,JR京都線快速,網干行,180
14:32,4,14:36,サンダーバード22号,大阪行,180
14:38,4,14:42,ＪＲ京都線,新三田行,180
14:39,4,14:43,ＪＲ京都線新快速,姫路行,180
14:44,4,14:48,エキスポライナー,桜島行 【始発】,180
14:44,4,14:48,ＪＲ京都線,須磨行,180
14:46,4,14:50,JR京都線快速,網干行,180
