発時刻,着時刻,所要時間,路線,行先,料金
18:12,20:39,2:27,のぞみ267号,博多,13870
18:30,21:00,2:30,のぞみ273号,広島,13870
18:39,21:06,2:27,のぞみ275号,新大阪,13870
18:51,21:21,2:30,のぞみ279号,博多,13870
19:00,21:29,2:29,のぞみ281号,新大阪,13870
19:09,21:36,2:27,のぞみ83号,広島,13870
19:21,21:48,2:27,のぞみ285号,岡山,13870
19:39,22:06,2:27,のぞみ289号,広島,13870
19:48,22:15,2:27,のぞみ265号,新大阪,13870
20:00,22:27,2:27,のぞみ89号,広島,13870
20:09,22:36,2:27,のぞみ295号,新大阪,13870
20:21,22:45,2:24,のぞみ91号,岡山,13870
20:39,23:03,2:24,のぞみ303号,岡山,13870
20:54,23:18,2:24,のぞみ307号,姫路,13870
21:03,23:27,2:24,のぞみ309号,新大阪,13870
21:12,23:36,2:24,のぞみ663号,新大阪,13870
21:24,23:45,2:21,のぞみ311号,新大阪,13870
