発時刻,着時刻,所要時間,路線,行先,料金
12:02,12:05,3,JR京都線,高槻行,180
12:02,12:06,4,はるか18号,京都行,180
12:08,12:12,4,JR京都線快速,野洲行,180
12:10,12:14,4,JR京都線,高槻行,180
12:12,12:15,3,サンダーバード21号,敦賀行 【始発】,180
12:15,12:19,4,JR京都線新快速,敦賀行,180
12:17,12:20,3,JR京都線,高槻行,180
12:23,12:27,4,JR京都線快速,米原行,180
12:25,12:29,4,こうのとり12号,新大阪行,180
12:25,12:29,4,JR京都線,高槻行,180
12:28,12:32,4,エキスポライナー,新大阪行,180
12:30,12:34,4,JR京都線新快速,近江塩津行,180
12:32,12:35,3,JR京都線,高槻行,180
12:32,12:36,4,はるか20号,京都行,180
12:38,12:42,4,JR京都線快速,野洲行,180
12:40,12:44,4,JR京都線,高槻行,180
12:42,12:45,3,サンダーバード23号,敦賀行 【始発】,180
12:45,12:49,4,JR京都線新快速,野洲行,180
12:47,12:50,3,JR京都線,高槻行,180
12:47,12:51,4,くろしお16号,新大阪行,180
12:53,12:57,4,JR京都線快速,米原行,180
12:55,12:59,4,JR京都線,高槻行,180
13:00,13:04,4,JR京都線新快速,草津行,180
13:02,13:05,3,JR京都線,高槻行,180
13:02,13:06,4,はるか22号,京都行,180
13:08,13:12,4,JR京都線快速,野洲行,180
13:10,13:14,4,JR京都線,高槻行,180
13:12,13:15,3,サンダーバード25号,敦賀行 【始発】,180
13:15,13:19,4,JR京都線新快速,敦賀行,180
13:17,13:20,3,JR京都線,高槻行,180
13:23,13:27,4,JR京都線快速,米原行,180
13:25,13:29,4,JR京都線,高槻行,180
13:28,13:32,4,エキスポライナー,新大阪行,180
13:30,13:34,4,JR京都線新快速,近江塩津行,180
13:32,13:35,3,JR京都線,高槻行,180
13:32,13:36,4,はるか24号,京都行,180
13:38,13:42,4,JR京都線快速,野洲行,180
13:40,13:44,4,JR京都線,高槻行,180
13:45,13:49,4,JR京都線新快速,野洲行,180
13:47,13:50,3,JR京都線,高槻行,180
13:47,13:51,4,くろしお18号,新大阪行,180
13:53,13:57,4,JR京都線快速,米原行,180
13:55,13:59,4,JR京都線,高槻行,180
14:00,14:04,4,JR京都線新快速,長浜行,180
14:02,14:05,3,JR京都線,高槻行,180
14:02,14:06,4,はるか26号,京都行,180
14:08,14:12,4,JR京都線快速,野洲行,180
14:10,14:14,4,JR京都線,高槻行,180
14:12,14:15,3,サンダーバード27号,敦賀行 【始発】,180
14:15,14:19,4,JR京都線新快速,敦賀行,180
14:17,14:20,3,JR京都線,高槻行,180
14:23,14:27,4,JR京都線快速,米原行,180
14:25,14:29,4,JR京都線,京都行,180
14:25,14:29,4,こうのとり14号,新大阪行,180
14:28,14:32,4,エキスポライナー,新大阪行,180
14:30,14:34,4,JR京都線新快速,近江塩津行,180
14:32,14:35,3,JR京都線,高槻行,180
14:32,14:36,4,はるか28号,京都行,180
14:38,14:42,4,JR京都線快速,野洲行,180
14:40,14:44,4,JR京都線,京都行,180
14:45,14:49,4,JR京都線新快速,野洲行,180
14:47,14:50,3,JR京都線,高槻行,180
14:47,14:51,4,くろしお20号,新大阪行,180
14:53,14:57,4,JR京都線快速,米原行,180
14:55,14:59,4,JR京都線,京都行,180
15:00,15:04,4,JR京都線新快速,長浜行,180
15:02,15:05,3,JR京都線,高槻行,180
15:02,15:06,4,はるか30号,京都行,180
15:08,15:12,4,JR京都線快速,野洲行,180
15:09,15:13,4,サンダーバード29号,敦賀行 【始発】,180
15:10,15:14,4,JR京都線,京都行,180
15:15,15:19,4,JR京都線新快速,敦賀行,180
15:17,15:20,3,JR京都線,高槻行,180
15:23,15:27,4,JR京都線快速,米原行,180
15:25,15:29,4,JR京都線,京都行,180
15:25,15:29,4,こうのとり16号,新大阪行,180
15:28,15:32,4,エキスポライナー,新大阪行,180
