発時刻,着時刻,所要時間,路線,行先,料金
18:28,18:33,5,福岡地下鉄空港線各停,福岡空港,260
18:35,18:40,5,福岡地下鉄空港線各停,福岡空港,260
18:42,18:47,5,福岡地下鉄空港線各停,福岡空港,260
18:49,18:54,5,福岡地下鉄空港線各停,福岡空港,260
18:54,18:59,5,福岡地下鉄空港線各停,福岡空港,260
19:01,19:06,5,福岡地下鉄空港線各停,福岡空港,260
19:11,19:16,5,福岡地下鉄空港線各停,福岡空港,260
19:19,19:24,5,福岡地下鉄空港線各停,福岡空港,260
19:25,19:30,5,福岡地下鉄空港線各停,福岡空港,260
19:35,19:40,5,福岡地下鉄空港線各停,福岡空港,260
19:44,19:49,5,福岡地下鉄空港線各停,福岡空港,260
19:51,19:56,5,福岡地下鉄空港線各停,福岡空港,260
19:55,20:00,5,福岡地下鉄空港線各停,福岡空港,260
20:04,20:09,5,福岡地下鉄空港線各停,福岡空港,260
20:13,20:18,5,福岡地下鉄空港線各停,福岡空港,260
20:19,20:24,5,福岡地下鉄空港線各停,福岡空港,260
20:27,20:32,5,福岡地下鉄空港線各停,福岡空港,260
20:34,20:39,5,福岡地下鉄空港線各停,福岡空港,260
20:40,20:45,5,福岡地下鉄空港線各停,福岡空港,260
20:46,20:51,5,福岡地下鉄空港線各停,福岡空港,260
20:54,20:59,5,福岡地下鉄空港線各停,福岡空港,260
21:03,21:08,5,福岡地下鉄空港線各停,福岡空港,260
21:11,21:16,5,福岡地下鉄空港線各停,福岡空港,260
21:16,21:21,5,福岡地下鉄空港線各停,福岡空港,260
21:24,21:29,5,福岡地下鉄空港線各停,福岡空港,260
21:35,21:40,5,福岡地下鉄空港線各停,福岡空港,260
21:44,21:49,5,福岡地下鉄空港線各停,福岡空港,260
21:54,21:59,5,福岡地下鉄空港線各停,福岡空港,260
22:04,22:09,5,福岡地下鉄空港線各停,福岡空港,260
22:14,22:19,5,福岡地下鉄空港線各停,福岡空港,260
22:24,22:29,5,福岡地下鉄空港線各停,福岡空港,260
22:34,22:39,5,福岡地下鉄空港線各停,福岡空港,260
22:45,22:50,5,福岡地下鉄空港線各停,福岡空港,260
22:57,23:02,5,福岡地下鉄空港線各停,福岡空港,260
23:09,23:14,5,福岡地下鉄空港線各停,福岡空港,260
23:19,23:24,5,福岡地下鉄空港線各停,福岡空港,260
23:28,23:33,5,福岡地下鉄空港線各停,福岡空港,260
23:39,23:44,5,福岡地下鉄空港線各停,福岡空港,260
23:52,23:57,5,福岡地下鉄空港線各停,福岡空港,260
00:09,00:14,5,福岡地下鉄空港線各停,福岡空港,260
